licno,address,capacity,boro,bbl,factype,cd,zipcode,juris,longitude,latitude,TableDate
2088364-DCA,444 2ND AVE,98,Manhattan,1009310017.0,Garage,106.0,10010.0,NYCDCWP,-73.9785039,40.7387805,2022_08
1461468-DCA,39 W 25TH ST,18,Manhattan,1008270014.0,Parking Lot,105.0,10010.0,NYCDCWP,-73.99067120000001,40.7439203,2022_08
2048149-DCA,870 JENNINGS ST,65,Bronx,2029767502.0,Garage,203.0,10459.0,NYCDCWP,-73.8920321,40.832316399999996,2022_08
2088538-DCA,331 E 29TH ST,64,Manhattan,1009350013.0,Garage,106.0,10016.0,NYCDCWP,-73.9766301,40.7412834,2022_08
1376929-DCA,340 E 93RD ST,146,Manhattan,1015550023.0,Garage,108.0,10128.0,NYCDCWP,-73.94670390000002,40.781182,2022_08
0367195-DCA,251 E 51ST ST,54,Manhattan,1013250024.0,Garage,106.0,10022.0,NYCDCWP,-73.9683196,40.755856,2022_08
1368918-DCA,283 E 164TH ST,73,Bronx,2024320019.0,Parking Lot,204.0,10456.0,NYCDCWP,-73.91612540000001,40.8284801,2022_08
1379517-DCA,57 ANN ST,276,Manhattan,1000920010.0,Garage,101.0,10038.0,NYCDCWP,-74.00642409999999,40.7104098,2022_08
1076667-DCA,6 E 17TH ST,74,Manhattan,1008440035.0,Parking Lot,105.0,10003.0,NYCDCWP,-73.9916752,40.737451,2022_08
1205557-DCA,300 W 135TH ST,140,Manhattan,1019597501.0,Garage,110.0,10030.0,NYCDCWP,-73.9473657,40.8163642,2022_08
2084415-DCA,202 E 67TH ST,106,Manhattan,1014210001.0,Garage,108.0,10065.0,NYCDCWP,-73.96284920000001,40.766119700000004,2022_08
1280323-DCA,250 E 53RD ST,28,Manhattan,1013267501.0,Garage,106.0,10022.0,NYCDCWP,-73.96760090000001,40.75669570000001,2022_08
2095750-DCA,385 S END AVE,62,Manhattan,1000160100.0,Garage,101.0,10280.0,NYCDCWP,-74.0170361,40.7110565,2022_08
0941633-DCA,220 E 60TH ST,32,Manhattan,1014147501.0,Garage,108.0,10022.0,NYCDCWP,-73.96538570000001,40.7616164,2022_08
2059451-DCA,325 KENT AVE,725,Brooklyn,3024280001.0,Garage,301.0,11249.0,NYCDCWP,-73.9666336,40.71343529999999,2022_08
1470158-DCA,2346 RYER AVE,40,Bronx,2031510020.0,Garage,205.0,10458.0,NYCDCWP,-73.8982547,40.8583282,2022_08
1182737-DCA,323 W 34TH ST,450,Manhattan,1007580025.0,Garage,104.0,10001.0,NYCDCWP,-73.9944669,40.753074299999994,2022_08
2095748-DCA,345 S END AVE,415,Manhattan,1000160100.0,Garage,101.0,10280.0,NYCDCWP,-74.0170361,40.7110565,2022_08
1312579-DCA,34 W 139TH ST,72,Manhattan,1017367501.0,Garage,110.0,10037.0,NYCDCWP,-73.9368534,40.8154943,2022_08
2102165-DCA,184 KENT AVE,200,Brooklyn,3023487501.0,Garage,301.0,11249.0,NYCDCWP,-73.9651084,40.7190315,2022_08
1280325-DCA,100 JAY ST,424,Brooklyn,3000537501.0,Garage,302.0,11201.0,NYCDCWP,-73.9870561,40.702002,2022_08
1301293-DCA,440 E 102ND ST,270,Manhattan,1016940003.0,Garage,111.0,10029.0,NYCDCWP,-73.94044190000001,40.7860371,2022_08
2088972-DCA,655 MORRIS AVE,76,Bronx,2024410200.0,Garage,201.0,10451.0,NYCDCWP,-73.9221517,40.8199785,2022_08
2003467-DCA,425 W 23RD ST,185,Manhattan,1007210007.0,Garage,104.0,10011.0,NYCDCWP,-74.0024938,40.7474422,2022_08
1182377-DCA,169 E 65TH ST,70,Manhattan,0.0,Garage,108.0,10065.0,NYCDCWP,-73.96462193,40.76564541,2022_08
2102147-DCA,142 W 21ST ST,129,Manhattan,1007960063.0,Garage,104.0,10011.0,NYCDCWP,-73.9957561,40.7422298,2022_08
1244225-DCA,110 LIVINGSTON ST,225,Brooklyn,3002697501.0,Garage,302.0,11201.0,NYCDCWP,-73.99001870000001,40.690809200000004,2022_08
2098315-DCA,350 BLEECKER ST,42,Manhattan,1006200019.0,Garage,102.0,10014.0,NYCDCWP,-74.0049253,40.734291999999996,2022_08
1231149-DCA,300 MERCER ST,225,Manhattan,1005480070.0,Garage,102.0,10003.0,NYCDCWP,-73.9934441,40.730070500000004,2022_08
1370726-DCA,530 E 72ND ST,44,Manhattan,1014830028.0,Garage,108.0,10021.0,NYCDCWP,-73.9519832,40.765811,2022_08
2098320-DCA,1114 6TH AVE,188,Manhattan,1012580009.0,Garage,105.0,10036.0,NYCDCWP,-73.982848,40.754824299999996,2022_08
2010013-DCA,122 W 97TH ST,147,Manhattan,1018510008.0,Garage,107.0,10025.0,NYCDCWP,-73.96896240000001,40.7940492,2022_08
1249153-DCA,158 E 108TH ST,44,Manhattan,1016350046.0,Parking Lot,111.0,10029.0,NYCDCWP,-73.9448777,40.7931097,2022_08
1172406-DCA,55 WASHINGTON ST,115,Brooklyn,3000380001.0,Garage,302.0,11201.0,NYCDCWP,-73.98910079999999,40.702844899999995,2022_08
0368610-DCA,330 W 45TH ST,58,Manhattan,1010350047.0,Garage,104.0,10036.0,NYCDCWP,-73.98999040000001,40.759584499999995,2022_08
2091574-DCA,70 BATTERY PL,36,Manhattan,1000160020.0,Garage,101.0,10280.0,NYCDCWP,-74.0177024,40.7072988,2022_08
0999760-DCA,4036 10TH AVE,70,Manhattan,1022320018.0,Garage,112.0,10034.0,NYCDCWP,-73.9152342,40.8699959,2022_08
2103412-DCA,44 W 47TH ST,70,Manhattan,1012627502.0,Garage,105.0,10036.0,NYCDCWP,-73.98082609999999,40.757184499999994,2022_08
2042879-DCA,7 NAVY PIER CT,365,Staten Island,5004877501.0,Garage,501.0,10304.0,NYCDCWP,-74.0740162,40.6293988,2022_08
1213004-DCA,3815 QUEENS BLVD,40,Queens,4002190034.0,Parking Lot,402.0,11104.0,NYCDCWP,-73.92627420000001,40.7448468,2022_08
2065485-DCA,2020 BOSTON RD,375,Bronx,2031390001.0,Garage,206.0,10460.0,NYCDCWP,-73.87883790000001,40.8406994,2022_08
1192089-DCA,710 61ST ST,50,Brooklyn,3057940012.0,Parking Lot,307.0,11220.0,NYCDCWP,-74.0121997,40.6357295,2022_08
2090971-DCA,4388 BROADWAY,24,Manhattan,1021700003.0,Garage,112.0,10040.0,NYCDCWP,-73.933245,40.8544672,2022_08
0977109-DCA,10 E 70TH ST,24,Manhattan,1013840063.0,Garage,108.0,10021.0,NYCDCWP,-73.96702020000001,40.7704878,2022_08
1230416-DCA,217 E 96TH ST,200,Manhattan,1016467502.0,Garage and Parking Lot,111.0,10128.0,NYCDCWP,-73.9479718,40.7851295,2022_08
2037750-DCA,2026 WESTCHESTER AVE,118,Bronx,2038057501.0,Garage,209.0,10462.0,NYCDCWP,-73.85634909999999,40.833276500000004,2022_08
2010458-DCA,140 W 18TH ST,21,Manhattan,1007930061.0,Garage,104.0,10011.0,NYCDCWP,-73.99682800000001,40.7403854,2022_08
1461725-DCA,600 PELHAM PKWY S,25,Bronx,2043170033.0,Parking Lot,211.0,10462.0,NYCDCWP,-73.868955,40.8564377,2022_08
1028146-DCA,10 E 29TH ST,60,Manhattan,1008580008.0,Garage,105.0,10016.0,NYCDCWP,-73.9862141,40.7446417,2022_08
1439430-DCA,60 E 90TH ST,268,Manhattan,1015017501.0,Garage,108.0,10128.0,NYCDCWP,-73.9566686,40.7829675,2022_08
1246253-DCA,691 E 149TH ST,20,Bronx,2026230140.0,Parking Lot,201.0,10455.0,NYCDCWP,-73.90947170000001,40.8135548,2022_08
2087136-DCA,303 W 96TH ST,95,Manhattan,1018870010.0,Garage,107.0,10025.0,NYCDCWP,-73.9737073,40.7957548,2022_08
1392680-DCA,1559 LEXINGTON AVE,80,Manhattan,1016270053.0,Parking Lot,111.0,10029.0,NYCDCWP,-73.9490132,40.788039399999995,2022_08
2095953-DCA,1955 1ST AVE,109,Manhattan,1016720017.0,Garage,111.0,10029.0,NYCDCWP,-73.94318609999999,40.786365100000005,2022_08
2081879-DCA,888 8TH AVE,170,Manhattan,1010240001.0,Garage,105.0,10019.0,NYCDCWP,-73.9846435,40.763692799999994,2022_08
2011732-DCA,180 W 20TH ST,55,Manhattan,1007950001.0,Garage,104.0,10011.0,NYCDCWP,-73.99684599999999,40.741766,2022_08
2095749-DCA,355 S END AVE,41,Manhattan,1000160100.0,Garage,101.0,10280.0,NYCDCWP,-74.0170361,40.7110565,2022_08
0699505-DCA,344 W 45TH ST,40,Manhattan,1010350052.0,Parking Lot,104.0,10036.0,NYCDCWP,-73.9902647,40.75969979999999,2022_08
0972256-DCA,45 SUTTON PL S,88,Manhattan,1013710014.0,Garage,106.0,10022.0,NYCDCWP,-73.96138959999999,40.7555794,2022_08
1420789-DCA,60 E END AVE,120,Manhattan,1015790023.0,Garage,108.0,10028.0,NYCDCWP,-73.94695250000001,40.772791399999996,2022_08
0835271-DCA,527 MADISON AVE,26,Manhattan,1012890052.0,Garage,105.0,10022.0,NYCDCWP,-73.9735084,40.76002929999999,2022_08
1367120-DCA,325 N END AVE,55,Manhattan,1000167523.0,Garage,101.0,10282.0,NYCDCWP,-74.0150103,40.716952500000005,2022_08
0367503-DCA,300 E 71ST ST,57,Manhattan,1014457501.0,Garage,108.0,10021.0,NYCDCWP,-73.95875799999999,40.76768010000001,2022_08
2015756-DCA,529 W 29TH ST,29,Manhattan,1007017501.0,Garage,104.0,10001.0,NYCDCWP,-74.0029452,40.7523251,2022_08
2025870-DCA,5025 BARNETT AVE,300,Queens,4001190143.0,Garage,402.0,11104.0,NYCDCWP,-73.9124125,40.750318299999996,2022_08
1465356-DCA,12 CLAVER PL,50,Brooklyn,3019940027.0,Garage,303.0,11238.0,NYCDCWP,-73.9579777,40.6826335,2022_08
2083253-DCA,10025 QUEENS BLVD,66,Queens,4021197501.0,Garage,406.0,11375.0,NYCDCWP,-73.8524179,40.72715720000001,2022_08
0906120-DCA,333 E 49TH ST,51,Manhattan,1013420012.0,Garage,106.0,10017.0,NYCDCWP,-73.96759859999999,40.7540443,2022_08
2096451-DCA,800 SAINT ANNS AVE,66,Bronx,2026187501.0,Garage,201.0,10456.0,NYCDCWP,-73.90986020000001,40.820125899999994,2022_08
1180979-DCA,9 W 35TH ST,225,Manhattan,1008370030.0,Parking Lot,105.0,10001.0,NYCDCWP,-73.98483440000001,40.749765999999994,2022_08
1091447-DCA,250 E 187TH ST,108,Bronx,2031520011.0,Parking Lot,205.0,10458.0,NYCDCWP,-73.8975691,40.859881099999996,2022_08
2093300-DCA,143 W 68TH ST,271,Manhattan,1011407501.0,Garage,107.0,10023.0,NYCDCWP,-73.98277390000001,40.77612620000001,2022_08
0368238-DCA,65 W 56TH ST,80,Manhattan,1012720001.0,Garage,105.0,10019.0,NYCDCWP,-73.9771384,40.763837,2022_08
2070412-DCA,721 AMSTERDAM AVE,185,Manhattan,1012267502.0,Parking Lot,107.0,10025.0,NYCDCWP,-73.9702411,40.7935253,2022_08
1406477-DCA,411 BROADWAY,60,Manhattan,1001940036.0,Parking Lot,101.0,10013.0,NYCDCWP,-74.0025397,40.719204100000006,2022_08
2082929-DCA,1985 JEROME AVE,54,Bronx,2028630050.0,Parking Lot,205.0,10453.0,NYCDCWP,-73.908822,40.8526829,2022_08
1258315-DCA,3000 3RD AVE,272,Bronx,2023630016.0,Garage,201.0,10455.0,NYCDCWP,-73.9135833,40.8187455,2022_08
2086742-DCA,1512 BOONE AVE,71,Bronx,2030137501.0,Garage,203.0,10460.0,NYCDCWP,-73.8853583,40.8319778,2022_08
1130472-DCA,1901 1ST AVE,95,Manhattan,1016690001.0,Garage,111.0,10029.0,NYCDCWP,-73.94496020000001,40.785053999999995,2022_08
2025581-DCA,150 50TH AVE,267,Queens,4000067502.0,Garage,402.0,11101.0,NYCDCWP,-73.95901490000001,40.743315,2022_08
1231157-DCA,120 E 34TH ST,123,Manhattan,1008890068.0,Garage,105.0,10016.0,NYCDCWP,-73.9803276,40.7463234,2022_08
1198454-DCA,581 SAINT JOHNS PL,18,Brooklyn,3011750080.0,Garage,308.0,11238.0,NYCDCWP,-73.9588598,40.6731232,2022_08
0734552-DCA,230 E 179TH ST,22,Bronx,2028110003.0,Parking Lot,205.0,10457.0,NYCDCWP,-73.9033886,40.850554100000004,2022_08
1437468-DCA,525 E 11TH ST,90,Manhattan,1004057504.0,Garage,103.0,10009.0,NYCDCWP,-73.9804772,40.7281422,2022_08
2018161-DCA,1963 GRAND CONCOURSE,95,Bronx,2028080044.0,Garage and Parking Lot,205.0,10453.0,NYCDCWP,-73.9054265,40.8510581,2022_08
1306114-DCA,1295 5TH AVE,180,Manhattan,1016160001.0,Garage,111.0,10029.0,NYCDCWP,-73.94813959999999,40.796805600000006,2022_08
1076044-DCA,180 E END AVE,115,Manhattan,1015850023.0,Garage,108.0,10128.0,NYCDCWP,-73.9440139,40.7767287,2022_08
1423764-DCA,401 E 74TH ST,61,Manhattan,1014697501.0,Garage,108.0,10021.0,NYCDCWP,-73.9544718,40.769199,2022_08
1420787-DCA,80 CENTRAL PARK W,83,Manhattan,1011210029.0,Garage,107.0,10023.0,NYCDCWP,-73.9781387,40.774012,2022_08
1133687-DCA,150 W 20TH ST,150,Manhattan,1007950067.0,Garage,104.0,10011.0,NYCDCWP,-73.9963083,40.7416919,2022_08
0427311-DCA,169 E 87TH ST,175,Manhattan,1015160028.0,Garage,108.0,10128.0,NYCDCWP,-73.9541322,40.780015899999995,2022_08
1307256-DCA,12310 S CONDUIT AVE,524,Queens,4200569999.0,Parking Lot,483.0,11434.0,NYCDCWP,-73.78792014,40.64855309,2022_08
2089028-DCA,815 10TH AVE,48,Manhattan,1010830037.0,Garage,104.0,10019.0,NYCDCWP,-73.9904692,40.7679752,2022_08
1182385-DCA,32 GRAMERCY PARK S,38,Manhattan,1008750047.0,Garage,106.0,10003.0,NYCDCWP,-73.9849925,40.736863,2022_08
2009327-DCA,3916 PRINCE ST,306,Queens,4049737501.0,Garage,407.0,11354.0,NYCDCWP,-73.8325622,40.759238200000006,2022_08
2010019-DCA,135 W 96TH ST,21,Manhattan,1018510008.0,Garage,107.0,10025.0,NYCDCWP,-73.96896240000001,40.7940492,2022_08
1409708-DCA,220 E 9TH ST,174,Manhattan,1004640020.0,Garage,103.0,10003.0,NYCDCWP,-73.98838570000001,40.729469,2022_08
1220146-DCA,145 E 27TH ST,48,Manhattan,1008830044.0,Garage,106.0,10016.0,NYCDCWP,-73.9818698,40.741805799999995,2022_08
1312575-DCA,279 W 117TH ST,71,Manhattan,1019230001.0,Garage,110.0,10026.0,NYCDCWP,-73.95419790000001,40.80515220000001,2022_08
1181002-DCA,141 W 43RD ST,423,Manhattan,1009960012.0,Garage,105.0,10036.0,NYCDCWP,-73.98512159999999,40.7565428,2022_08
0942362-DCA,343 HIMROD ST,50,Brooklyn,3032700024.0,Parking Lot,304.0,11237.0,NYCDCWP,-73.91784179999999,40.7026184,2022_08
2040450-DCA,13835 39 AVENUE,982,Queens,4049787502.0,Garage,407.0,11354.0,NYCDCWP,-73.82771290000001,40.7612347,2022_08
1215447-DCA,330 E 70TH ST,25,Manhattan,1014440031.0,Garage,108.0,10021.0,NYCDCWP,-73.9577984,40.76660379999999,2022_08
2096434-DCA,140 CHARLES ST,20,Manhattan,1006317502.0,Garage,102.0,10014.0,NYCDCWP,-74.0081403,40.733943200000006,2022_08
2083812-DCA,299 MOUNT EDEN AVENUE,115,Bronx,2027920024.0,Parking Lot,204.0,10457.0,NYCDCWP,-73.9071837,40.842902200000005,2022_08
1181124-DCA,1081 3RD AVE,118,Manhattan,1014180045.0,Garage,108.0,10065.0,NYCDCWP,-73.9640811,40.7643387,2022_08
1423872-DCA,85 ADAMS ST,52,Brooklyn,3000527501.0,Garage,302.0,11201.0,NYCDCWP,-73.9882246,40.7017386,2022_08
2060732-DCA,5102-5430 AVENUE U,3739,Brooklyn,3084700050.0,Parking Lot,318.0,11234.0,NYCDCWP,-73.9199207,40.608301000000004,2022_08
2047783-DCA,5604 BROADWAY,185,Bronx,2032670091.0,Parking Lot,208.0,10463.0,NYCDCWP,-73.9035815,40.8794998,2022_08
2083828-DCA,545 E 142ND ST,41,Bronx,2022690021.0,Garage,201.0,10454.0,NYCDCWP,-73.915892,40.8101727,2022_08
1152232-DCA,517 E 71ST ST,50,Manhattan,1014830038.0,Garage,108.0,10021.0,NYCDCWP,-73.9528278,40.765976,2022_08
1180977-DCA,227 W 30TH ST,1500,Manhattan,1007800019.0,Garage,105.0,10001.0,NYCDCWP,-73.9934061,40.749280999999996,2022_08
1400052-DCA,361 E 161ST ST,50,Bronx,2024080001.0,Garage,203.0,10451.0,NYCDCWP,-73.9144897,40.8247598,2022_08
2017912-DCA,455 MADISON AVE,157,Manhattan,1012860021.0,Garage and Parking Lot,105.0,10022.0,NYCDCWP,-73.97492059999999,40.757951899999995,2022_08
1178703-DCA,211 ATLANTIC AVE,700,Brooklyn,3002777501.0,Garage,302.0,11201.0,NYCDCWP,-73.9916523,40.689859600000005,2022_08
0908745-DCA,49 E 77TH ST,113,Manhattan,1013927501.0,Garage,108.0,10075.0,NYCDCWP,-73.9625805,40.7752321,2022_08
1258659-DCA,401 W 42ND ST,998,Manhattan,1010520001.0,Garage,104.0,10036.0,NYCDCWP,-73.9937914,40.759389899999995,2022_08
2083821-DCA,1918 1ST AVE,233,Manhattan,1016910002.0,Garage,111.0,10029.0,NYCDCWP,-73.9430756,40.7846633,2022_08
2088537-DCA,45 W 139TH ST,73,Manhattan,1017370015.0,Parking Lot,110.0,10037.0,NYCDCWP,-73.9373329,40.8165843,2022_08
2039265-DCA,226 50TH AVE,211,Queens,4000167502.0,Garage,402.0,11101.0,NYCDCWP,-73.95729370000001,40.742979600000005,2022_08
2084142-DCA,1441 2ND AVE,70,Manhattan,1014307501.0,Garage,108.0,10021.0,NYCDCWP,-73.9570301,40.7712009,2022_08
1310684-DCA,651 RIVER AVE,2332,Bronx,2023570040.0,Garage,204.0,10451.0,NYCDCWP,-73.9298515,40.8228571,2022_08
1425382-DCA,34 N 7TH ST,142,Brooklyn,3023247502.0,Garage,301.0,11249.0,NYCDCWP,-73.96265090000001,40.7204744,2022_08
2006828-DCA,1 MORTON SQ,140,Manhattan,1006027501.0,Garage,102.0,10014.0,NYCDCWP,-74.0098069,40.7308745,2022_08
2083662-DCA,416 KENT AVE,105,Brooklyn,3021280005.0,Garage,301.0,11249.0,NYCDCWP,-73.96905190000001,40.710287799999996,2022_08
2097040-DCA,445 LAFAYETTE ST,14,Manhattan,1005447502.0,Garage,102.0,10003.0,NYCDCWP,-73.991236,40.72951320000001,2022_08
2050925-DCA,1973 38TH ST,219,Queens,4008110001.0,Garage,401.0,11105.0,NYCDCWP,-73.9015598,40.7770873,2022_08
2088196-DCA,9510 DITMARS BLVD,201,Queens,4010720001.0,Parking Lot,403.0,11369.0,NYCDCWP,-73.8745988,40.7696531,2022_08
2096933-DCA,13 GRATTAN ST,24,Brooklyn,3030930010.0,Parking Lot,301.0,11206.0,NYCDCWP,-73.9327987,40.7057956,2022_08
2076495-DCA,400 W 59TH ST,304,Manhattan,1010680010.0,Garage,104.0,10019.0,NYCDCWP,-73.9852379,40.7691988,2022_08
2092477-DCA,221 E 36TH ST,64,Manhattan,1009170017.0,Garage and Parking Lot,106.0,10016.0,NYCDCWP,-73.97577290000001,40.746651899999996,2022_08
2083642-DCA,390 MADISON AVE,108,Manhattan,1012820017.0,Garage,105.0,10017.0,NYCDCWP,-73.9776537,40.7558198,2022_08
2103865-DCA,30 E 85TH ST,43,Manhattan,1014967501.0,Garage,108.0,10028.0,NYCDCWP,-73.95977579999999,40.7800729,2022_08
0469197-DCA,327 W 46TH ST,95,Manhattan,1010370015.0,Parking Lot,104.0,10036.0,NYCDCWP,-73.98916,40.7605506,2022_08
2089103-DCA,200 E 15TH ST,43,Manhattan,1008960048.0,Garage,106.0,10003.0,NYCDCWP,-73.9864834,40.733629799999996,2022_08
0913566-DCA,891 SHERIDAN AVE,95,Bronx,2024600025.0,Garage,204.0,10451.0,NYCDCWP,-73.921244,40.826779200000004,2022_08
1323351-DCA,4017 MAIN ST,343,Queens,4050190005.0,Garage,407.0,11354.0,NYCDCWP,-73.82915809999999,40.7593348,2022_08
2098316-DCA,1 NEW YORK PLZ,150,Manhattan,1000047501.0,Garage,101.0,10004.0,NYCDCWP,-74.01202070000001,40.702153100000004,2022_08
2083909-DCA,585 E 169TH ST,240,Bronx,2029310105.0,Garage,203.0,10456.0,NYCDCWP,-73.90269609999999,40.8321969,2022_08
1263880-DCA,503 W 151ST ST,18,Manhattan,1020830028.0,Parking Lot,109.0,10031.0,NYCDCWP,-73.94514759999998,40.829367600000005,2022_08
1460735-DCA,680 12TH AVE,170,Manhattan,1010980011.0,Garage,104.0,10019.0,NYCDCWP,-73.9962347,40.7668008,2022_08
2001457-DCA,224 E 39TH ST,86,Manhattan,1009190042.0,Garage,106.0,10016.0,NYCDCWP,-73.9748485,40.748202500000005,2022_08
0429467-DCA,11 RIVERSIDE DR,200,Manhattan,1011840031.0,Garage,107.0,10023.0,NYCDCWP,-73.984495,40.781124600000005,2022_08
0920608-DCA,201 W 75TH ST,278,Manhattan,1011670029.0,Garage,107.0,10023.0,NYCDCWP,-73.980386,40.7808797,2022_08
2009038-DCA,941 Hoe Avenue,106,Bronx,2027427501.0,Garage,202.0,10459.0,NYCDCWP,-73.8906972,40.8222503,2022_08
0924489-DCA,60 E 8TH ST,169,Manhattan,1005487501.0,Garage,102.0,10003.0,NYCDCWP,-73.9930761,40.730498600000004,2022_08
2095595-DCA,2686 JEROME AVE,58,Bronx,2033170006.0,Parking Lot,207.0,10468.0,NYCDCWP,-73.89669659999998,40.8677054,2022_08
1420682-DCA,476 47TH AVE,828,Queens,4000210060.0,Garage,402.0,11101.0,NYCDCWP,-73.9562309,40.745699200000004,2022_08
2010024-DCA,120 W 97TH ST,147,Manhattan,1018510008.0,Garage,107.0,10025.0,NYCDCWP,-73.96896240000001,40.7940492,2022_08
1407898-DCA,201 E 56TH ST,150,Manhattan,1013300004.0,Garage,106.0,10022.0,NYCDCWP,-73.96741180000001,40.7597176,2022_08
2075368-DCA,606 W 57TH ST,400,Manhattan,1011040031.0,Garage,104.0,10019.0,NYCDCWP,-73.9926712,40.7704347,2022_08
2091716-DCA,532 NEPTUNE AVE,275,Brooklyn,3072737501.0,Parking Lot,313.0,11224.0,NYCDCWP,-73.97337850000001,40.5793105,2022_08
2029297-DCA,2325 31ST ST,135,Queens,4008350027.0,Garage and Parking Lot,401.0,11105.0,NYCDCWP,-73.91333859999999,40.773608200000005,2022_08
0982918-DCA,336 W 51ST ST,124,Manhattan,1010410050.0,Garage,104.0,10019.0,NYCDCWP,-73.9874918,40.7633336,2022_08
0913526-DCA,303 E 83RD ST,128,Manhattan,1015460001.0,Garage,108.0,10028.0,NYCDCWP,-73.952651,40.77602720000001,2022_08
1230569-DCA,200 E 33RD ST,157,Manhattan,1009130001.0,Garage,106.0,10016.0,NYCDCWP,-73.9784803,40.7446158,2022_08
1470564-DCA,187A GARFIELD PL,67,Brooklyn,3009630066.0,Garage,306.0,11215.0,NYCDCWP,-73.97740390000001,40.6729416,2022_08
2095794-DCA,365 S END AVE,42,Manhattan,1000160100.0,Garage,101.0,10280.0,NYCDCWP,-74.0170361,40.7110565,2022_08
2078866-DCA,329 E 22ND ST,160,Manhattan,1009280017.0,Garage,106.0,10010.0,NYCDCWP,-73.97971690000001,40.7367578,2022_08
2102186-DCA,182 SCHERMERHORN ST,750,Brooklyn,3001700020.0,Garage,302.0,11201.0,NYCDCWP,-73.98677370000001,40.6890083,2022_08
1461464-DCA,2937 W 25TH ST,108,Manhattan,1008270017.0,Parking Lot,105.0,10010.0,NYCDCWP,-73.99032829999999,40.7438544,2022_08
1338875-DCA,220 E 54TH ST,30,Manhattan,1013270037.0,Garage,106.0,10022.0,NYCDCWP,-73.9681743,40.75775529999999,2022_08
1091919-DCA,239 E 79TH ST,42,Manhattan,1015250021.0,Parking Lot,108.0,10075.0,NYCDCWP,-73.9551438,40.773804999999996,2022_08
2098318-DCA,420 E 55TH ST,68,Manhattan,1013660016.0,Garage,106.0,10022.0,NYCDCWP,-73.9625985,40.756062899999996,2022_08
2075363-DCA,1500 UNIONPORT RD,515,Bronx,2039430001.0,Garage and Parking Lot,209.0,10462.0,NYCDCWP,-73.85576999999999,40.836997700000005,2022_08
2030917-DCA,6 W 137TH ST,128,Manhattan,1017340001.0,Garage,110.0,10037.0,NYCDCWP,-73.9386175,40.814361700000006,2022_08
0429844-DCA,247 MADISON AVE,80,Manhattan,1008680025.0,Garage,106.0,10016.0,NYCDCWP,-73.980597,40.7504653,2022_08
1097397-DCA,614 W 153RD ST,135,Manhattan,1020990040.0,Garage,109.0,10031.0,NYCDCWP,-73.94776920000001,40.831641499999996,2022_08
2083254-DCA,121 READE ST,89,Manhattan,1001400005.0,Garage,101.0,10007.0,NYCDCWP,-74.0096171,40.7160583,2022_08
1338871-DCA,923 5TH AVE,73,Manhattan,1013887501.0,Garage,108.0,10021.0,NYCDCWP,-73.966026,40.7731719,2022_08
1093313-DCA,316 W 57TH ST,372,Manhattan,1010477503.0,Garage,104.0,10019.0,NYCDCWP,-73.98423840000001,40.7668245,2022_08
2083249-DCA,1650 SELWYN AVE,64,Bronx,2028240005.0,Garage and Parking Lot,204.0,10457.0,NYCDCWP,-73.91009609999999,40.843437,2022_08
1283824-DCA,2109 BROADWAY,110,Manhattan,1011657503.0,Garage,107.0,10023.0,NYCDCWP,-73.9822132,40.7801417,2022_08
2064837-DCA,163 E 125TH ST,190,Manhattan,1017747501.0,Garage and Parking Lot,111.0,10035.0,NYCDCWP,-73.93642690000001,40.8044191,2022_08
2074574-DCA,1900 JEROME AVE,40,Bronx,2028530001.0,Garage,205.0,10453.0,NYCDCWP,-73.9100579,40.8502987,2022_08
1384694-DCA,439 E 77TH ST,96,Manhattan,1014720017.0,Garage,108.0,10075.0,NYCDCWP,-73.9519797,40.7705704,2022_08
1367106-DCA,400 CHAMBERS ST,123,Manhattan,1000167522.0,Garage,101.0,10282.0,NYCDCWP,-74.0150285,40.717718299999994,2022_08
2083823-DCA,260 E 188TH ST,139,Bronx,2031470050.0,Garage,205.0,10458.0,NYCDCWP,-73.8961041,40.8604232,2022_08
2098314-DCA,1515 BROADWAY,225,Manhattan,1010160036.0,Garage,105.0,10036.0,NYCDCWP,-73.98643879999999,40.757929100000005,2022_08
1420424-DCA,2960 WEBSTER AVE,825,Bronx,2032740001.0,Parking Lot,207.0,10458.0,NYCDCWP,-73.8828861,40.8671762,2022_08
1461171-DCA,230 W 55TH ST,109,Manhattan,1010267502.0,Garage,105.0,10019.0,NYCDCWP,-73.9826939,40.764686100000006,2022_08
0369838-DCA,15820 JEWEL AVE,235,Queens,4067890065.0,Parking Lot,408.0,11365.0,NYCDCWP,-73.8101861,40.731297600000005,2022_08
1105864-DCA,505 E 79TH ST,57,Manhattan,1015760005.0,Garage,108.0,10075.0,NYCDCWP,-73.9494628,40.7712967,2022_08
0733100-DCA,3201 BAINBRIDGE AVE,29,Bronx,2033350168.0,Parking Lot,207.0,10467.0,NYCDCWP,-73.8799021,40.8758354,2022_08
1426905-DCA,1111 GERARD AVE,48,Bronx,2024870042.0,Parking Lot,204.0,10452.0,NYCDCWP,-73.9217309,40.8336578,2022_08
1181008-DCA,340 W 31ST ST,261,Manhattan,1007540063.0,Garage,104.0,10001.0,NYCDCWP,-73.9965677,40.750766,2022_08
1187231-DCA,395 FLATBUSH AVE,140,Brooklyn,3011690009.0,Garage,308.0,11238.0,NYCDCWP,-73.97124529999999,40.6760721,2022_08
