licno,address,capacity,boro,bbl,factype,cd,zipcode,juris,longitude,latitude,TableDate
2091164-DCA,99 PARK AVE,75,Manhattan,1008950001.0,Garage,106.0,10016.0,NYCDCWP,-73.9784207,40.7503304,2022_08
1218380-DCA,309 W 118TH ST,24,Manhattan,1019457502.0,Garage,110.0,10026.0,NYCDCWP,-73.9549376,40.806346399999995,2022_08
1320741-DCA,201 PEARL ST,44,Manhattan,1000690006.0,Garage,101.0,10038.0,NYCDCWP,-74.006752,40.7070831,2022_08
2013235-DCA,500 W 30TH ST,79,Manhattan,1007017502.0,Garage,104.0,10001.0,NYCDCWP,-74.0017036,40.7519848,2022_08
1058507-DCA,301 W 53RD ST,53,Manhattan,1010447501.0,Garage,104.0,10019.0,NYCDCWP,-73.98488509999999,40.7646233,2022_08
1010039-DCA,300 W 55TH ST,92,Manhattan,1010450029.0,Garage,104.0,10019.0,NYCDCWP,-73.98440129999999,40.7652326,2022_08
1180717-DCA,1682 PARK AVE,52,Manhattan,1017450134.0,Garage,111.0,10035.0,NYCDCWP,-73.9424584,40.801049,2022_08
2096033-DCA,12370 S CONDUIT AVE,567,Queens,0.0,Parking Lot,410.0,11420.0,NYCDCWP,-73.8173319,40.66488838,2022_08
1089427-DCA,25 SUTTON PL S,150,Manhattan,1013710038.0,Garage,106.0,10022.0,NYCDCWP,-73.9608839,40.7561529,2022_08
2087393-DCA,1752 BROADWAY,196,Manhattan,1010280017.0,Parking Lot,105.0,10019.0,NYCDCWP,-73.98146990000001,40.7654737,2022_08
0898215-DCA,11201 QUEENS BLVD,422,Queens,4022647501.0,Garage,406.0,11375.0,NYCDCWP,-73.8365598,40.718824700000006,2022_08
2038951-DCA,13620 38TH AVE,401,Queens,4049787501.0,Garage and Parking Lot,407.0,11354.0,NYCDCWP,-73.8297755,40.7606751,2022_08
2036350-DCA,4142 24TH ST,108,Queens,4004130002.0,Garage,401.0,11101.0,NYCDCWP,-73.9411691,40.751813299999995,2022_08
2015757-DCA,23 W 116TH ST,113,Manhattan,1016007503.0,Garage,110.0,10026.0,NYCDCWP,-73.9474316,40.8015839,2022_08
2096750-DCA,10840 HORACE HARDING EXPRESSWAY,504,Queens,4021590080.0,Garage,406.0,11375.0,NYCDCWP,-73.85073270000001,40.736964799999996,2022_08
1266504-DCA,315 E 70TH ST,49,Manhattan,1014450007.0,Garage,108.0,10021.0,NYCDCWP,-73.9582745,40.7672984,2022_08
1074776-DCA,345 E 80TH ST,129,Manhattan,1015437501.0,Garage,108.0,10028.0,NYCDCWP,-73.95230620000001,40.773469,2022_08
2096886-DCA,1303 LEXINGTON AVE,36,Manhattan,1015160052.0,Garage,108.0,10128.0,NYCDCWP,-73.9544424,40.7804717,2022_08
2026063-DCA,310 E 46TH ST,67,Manhattan,1013380005.0,Parking Lot,106.0,10017.0,NYCDCWP,-73.9699277,40.751766700000005,2022_08
2095783-DCA,880 5TH AVE,110,Manhattan,1013840001.0,Garage and Parking Lot,108.0,10021.0,NYCDCWP,-73.9678324,40.7706143,2022_08
0427285-DCA,67 WARREN ST,50,Manhattan,1001320030.0,Parking Lot,101.0,10007.0,NYCDCWP,-74.01001009999999,40.7148972,2022_08
1245680-DCA,340 E 34TH ST,41,Manhattan,1009390038.0,Garage,106.0,10016.0,NYCDCWP,-73.9743809,40.743840999999996,2022_08
1356253-DCA,245 E 124TH ST,135,Manhattan,1017890021.0,Garage,111.0,10035.0,NYCDCWP,-73.934471,40.8024967,2022_08
2065381-DCA,1050 5TH AVE,49,Manhattan,1014980001.0,Garage,108.0,10028.0,NYCDCWP,-73.95989399999999,40.781629200000005,2022_08
1036915-DCA,160 E 65TH ST,150,Manhattan,1013990033.0,Garage,108.0,10065.0,NYCDCWP,-73.9643912,40.7651238,2022_08
2103898-DCA,91 BLEECKER ST,670,Manhattan,1005330001.0,Parking Lot,102.0,10012.0,NYCDCWP,-73.9971966,40.728075200000006,2022_08
