Year,State,Garage,Garage and Parking Lot,Parking Lot
2012_02,101,11379,0,2194
2012_02,102&3,10072,3674,2777
2012_02,104,15831,375,5468
2012_02,105,22270,66,3378
2012_02,106,22519,379,1094
2012_02,CD 1-6,82071,4494,14911
2022_02,101,9446,536,1214
2022_02,102&3,12070,567,1803
2022_02,104,14870,676,2005
2022_02,105,17102,1262,1351
2022_02,106,20404,632,616
2022_02,CD 1-6,73892,3673,6989
