date,close,open
01-Apr-20,0.501007,3.8
01-May-20,0.415606,15.6
01-Jun-20,0.587278,20
01-Jul-20,0.954216,18.8
01-Aug-20,1.104875,18.5
01-Sep-20,1.222767,14.8
01-Oct-20,1.492521,14.7
01-Nov-20,1.539521,12
01-Dec-20,1.23483,12
01-Jan-21,1.170006,12
01-Feb-21,1.233245,12.6
01-Mar-21,1.536606,12.9
01-Apr-21,1.630214,11.7
01-May-21,1.834355,11.4
01-Jun-21,1.85229,10.9
01-Jul-21,2.179713,10.6
01-Aug-21,2.220615,10.5
01-Sep-21,2.157448,10.2
01-Oct-21,2.708204,9.8
01-Nov-21,2.783393,9.4
01-Dec-21,2.336142,9
01-Jan-22,1.786203,8.8
01-Feb-22,2.234337,
